gene	exp_rep3.exon	exp_rep2.exon	control_rep2.exon	exp_rep1.exon	control_rep1.exon	control_rep3.exon
ENSG00000236423.8	33	43	19	40	27	19
ENSG00000233304.7	0	0	0	0	0	0
ENSG00000226374.3	0	0	0	0	0	0
ENSG00000284668.2	0	0	0	0	1	0
ENSG00000284703.1	0	0	0	0	0	0
ENSG00000229280.1	0	0	0	0	0	0
ENSG00000235054.4	0	0	0	0	0	0
ENSG00000284694.1	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0
ENSG00000232596.3	0	0	0	0	0	0
ENSG00000196581.11	44	43	32	26	42	40
ENSG00000287586.1	1	1	1	0	0	0
ENSG00000284739.1	0	0	0	0	1	0
ENSG00000284674.1	0	0	0	0	0	0
ENSG00000231510.1	0	0	0	0	0	0
ENSG00000284616.1	0	2	0	0	0	0
ENSG00000284692.2	0	0	0	0	0	0
ENSG00000284666.1	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0
ENSG00000283356.1	0	0	0	0	0	0
ENSG00000236948.2	1	2	0	0	0	1
ENSG00000264341.1	0	0	0	0	0	0
ENSG00000289893.1	0	1	0	0	2	0
ENSG00000264101.1	0	0	0	0	0	0
ENSG00000131697.18	778	809	633	717	835	920
ENSG00000069424.16	305	210	259	177	256	362
ENSG00000116254.18	10	13	13	12	14	14
ENSG00000285629.1	2	0	0	0	0	0
ENSG00000116251.11	17329	18164	15829	20625	17200	21588
ENSG00000226944.1	38	20	20	13	21	26
ENSG00000158286.13	221	346	182	271	272	301
ENSG00000116237.16	14516	14838	12406	15473	14025	16502
ENSG00000225077.3	39	32	41	24	38	52
ENSG00000173673.9	0	0	0	0	0	1
ENSG00000158292.7	968	659	633	633	788	961
ENSG00000097021.21	9527	6483	6024	6859	6611	8531
ENSG00000271746.1	2	7	2	0	4	1
ENSG00000069812.11	515	626	353	550	445	512
ENSG00000187017.18	1000	1044	679	1139	796	916
ENSG00000265392.1	0	0	0	0	0	0
ENSG00000231868.1	0	1	0	0	1	0
ENSG00000215788.11	217	268	160	216	235	268
ENSG00000171680.23	1919	1809	1585	1697	1751	2156
ENSG00000162408.11	1515	1899	1662	1670	1954	2026
ENSG00000253022.1	0	0	1	0	0	0
ENSG00000229519.2	0	0	1	2	1	1
ENSG00000173662.21	2	2	1	2	2	6
ENSG00000204859.13	926	756	684	776	795	1052
ENSG00000162413.17	3743	3067	2816	3165	3118	3810
ENSG00000116273.6	3494	3288	2740	3086	3248	3903
ENSG00000041988.16	1151	1178	805	1002	905	1246
ENSG00000007923.17	4752	4951	4216	5025	4757	5964
ENSG00000228750.7	0	0	0	0	0	0
ENSG00000284744.1	0	0	0	0	0	0
ENSG00000237436.1	11	11	18	7	8	17
ENSG00000171735.21	3923	3902	2884	3827	3460	4284
ENSG00000227950.1	0	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0	0
ENSG00000237402.1	0	0	0	1	2	0
ENSG00000237728.2	0	0	0	0	0	0
ENSG00000225126.1	0	0	0	0	0	0
ENSG00000270171.1	1	2	6	2	4	6
ENSG00000270035.1	4	6	5	7	9	5
ENSG00000269978.1	8	9	10	11	7	9
ENSG00000049245.13	11045	11135	9521	12421	10385	12869
ENSG00000269925.1	27	36	22	32	26	37
ENSG00000049246.15	164	190	163	149	215	258
ENSG00000236266.1	0	2	0	4	3	3
ENSG00000049247.14	1	0	1	2	1	5
ENSG00000049249.10	2274	2732	2245	3055	2675	3000
ENSG00000270330.1	0	0	0	0	0	1
ENSG00000116288.13	18374	17006	14268	16934	15811	19670
ENSG00000200344.1	2	3	1	7	4	3
ENSG00000284747.1	11	22	7	12	16	19
ENSG00000284716.1	0	3	0	0	3	2
ENSG00000116285.13	11779	17506	9986	17203	12761	14361
ENSG00000238290.1	4	1	0	5	7	4
ENSG00000232848.1	3	2	0	0	0	0
ENSG00000229305.1	0	0	0	0	0	0
ENSG00000288816.1	0	0	0	0	0	0
ENSG00000227634.3	1	0	2	0	0	1
ENSG00000200975.1	0	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0
ENSG00000162426.16	95	48	67	40	80	93
ENSG00000252254.1	0	0	0	0	0	0
ENSG00000142599.20	8026	7598	6612	7538	7748	9533
ENSG00000232912.6	0	1	0	5	1	3
ENSG00000221083.1	0	0	0	0	0	0
ENSG00000270282.1	0	0	1	1	1	0
ENSG00000234619.1	2	0	0	3	2	0
ENSG00000224315.2	2	0	0	0	1	2
ENSG00000222511.2	0	0	0	0	0	0
ENSG00000226545.1	0	0	0	1	0	0
ENSG00000228423.2	0	0	0	2	0	2
ENSG00000229716.2	0	0	0	0	0	0
ENSG00000074800.16	229020	176889	172263	180244	183187	235261
ENSG00000274258.1	0	0	0	0	1	2
ENSG00000230679.1	7	3	3	3	5	3
ENSG00000201725.1	0	0	0	0	0	0
ENSG00000238249.2	13	5	4	5	3	5
ENSG00000232208.2	1	1	0	1	0	0
ENSG00000232663.2	0	0	0	0	0	0
ENSG00000131686.15	0	0	0	0	0	0
ENSG00000290109.1	0	0	0	0	0	0
ENSG00000265141.2	0	0	0	0	0	0
ENSG00000197241.4	5	6	3	3	5	3
ENSG00000142583.18	11	13	11	7	18	15
ENSG00000252404.1	0	0	0	0	0	0
ENSG00000180758.12	418	445	403	487	463	503
ENSG00000228526.8	233	356	146	325	235	260
ENSG00000284357.1	0	0	0	0	0	0
ENSG00000289914.1	0	0	0	0	0	1
ENSG00000234546.5	161	146	99	186	118	113
ENSG00000049239.13	5297	6435	4692	6158	5713	6682
ENSG00000171621.14	1029	954	822	912	1026	1033
ENSG00000284652.1	5	4	1	3	4	7
ENSG00000284693.2	19	11	13	11	8	29
ENSG00000252956.1	0	0	0	0	0	0
ENSG00000235263.1	0	0	0	0	0	0
ENSG00000171612.7	2459	2521	1991	2601	2312	2885
ENSG00000231181.1	28	45	18	34	32	21
ENSG00000188807.13	2904	1950	2005	2120	2139	2720
ENSG00000171608.18	1330	1068	1028	1111	1196	1407
ENSG00000179840.5	0	0	0	0	0	0
ENSG00000233268.3	0	0	0	0	0	0
ENSG00000231789.4	181	79	133	101	139	183
ENSG00000171603.18	20924	20432	16671	20562	18636	22996
ENSG00000271264.1	0	1	3	1	0	1
ENSG00000280113.2	2	0	0	0	0	0
ENSG00000178585.15	11499	13117	8178	13801	8808	11202
ENSG00000223989.1	0	0	0	0	0	0
ENSG00000285701.1	0	3	2	5	2	2
ENSG00000162441.12	5225	6186	4596	6811	5334	6290
ENSG00000228150.1	24	23	6	12	23	22
ENSG00000173614.14	1348	1493	1164	1501	1303	1608
ENSG00000202415.1	2	1	2	2	2	2
ENSG00000283611.2	0	1	0	2	1	1
ENSG00000265521.1	1	1	0	0	0	0
ENSG00000241326.1	0	0	0	0	0	0
ENSG00000162444.12	32	37	30	27	37	44
ENSG00000130939.20	9818	11057	9261	11240	10711	12429
ENSG00000224340.1	0	0	0	0	0	0
ENSG00000233623.2	0	0	1	0	0	0
ENSG00000201746.1	0	0	0	0	0	1
ENSG00000054523.20	10178	12090	10394	12391	12346	14304
ENSG00000264881.1	0	0	0	1	0	1
ENSG00000199562.1	3	0	1	2	0	0
ENSG00000264501.2	0	0	0	0	0	0
ENSG00000284735.1	23	12	19	18	24	24
ENSG00000284642.1	29	36	23	21	32	46
ENSG00000142657.21	36785	30846	29442	33151	32912	40807
ENSG00000271989.1	1	0	0	1	0	0
ENSG00000251503.8	22	22	22	22	11	28
ENSG00000175279.22	146	115	144	206	144	184
ENSG00000241563.4	11	8	3	3	3	8
ENSG00000160049.12	8220	9115	7665	8747	9173	10689
ENSG00000203469.2	0	0	0	0	0	0
ENSG00000142655.13	2389	2013	1667	1988	1975	2357
ENSG00000287727.1	3	4	4	4	9	2
ENSG00000243267.3	0	0	0	0	0	3
ENSG00000130940.15	1332	1597	1335	1614	1538	1834
ENSG00000272078.1	45	26	33	48	26	55
ENSG00000225158.2	0	0	0	0	0	0
ENSG00000175262.15	72	42	82	42	91	136
ENSG00000215785.2	2	0	0	3	0	0
ENSG00000120948.19	21178	22176	18685	22621	21760	26064
ENSG00000009724.18	75	106	74	92	78	125
ENSG00000116649.10	11118	7269	7352	7834	7910	10550
ENSG00000171824.14	6258	6632	5323	6175	6120	7578
ENSG00000226849.1	1	0	1	6	1	0
ENSG00000230337.3	8	11	9	7	10	8
ENSG00000198793.14	8068	9546	7652	8871	8959	10633
ENSG00000225602.5	0	0	2	1	0	0
ENSG00000253086.1	0	0	0	0	0	0
ENSG00000171819.5	7	13	4	5	10	11
ENSG00000207451.1	0	0	0	0	0	0
ENSG00000238173.1	9	11	1	2	2	4
ENSG00000120942.14	2357	2359	1956	2398	2220	2779
ENSG00000238199.1	1	1	2	3	5	1
ENSG00000284646.1	1	0	0	0	0	0
ENSG00000224338.2	0	0	0	0	0	0
ENSG00000204624.8	204	108	181	129	219	226
ENSG00000285833.1	0	0	0	0	0	0
ENSG00000235643.2	5	2	1	0	0	1
ENSG00000284708.1	4	5	3	2	2	4
ENSG00000116661.11	2010	1698	1257	1599	1392	1867
ENSG00000132879.14	1734	1478	1234	1407	1227	1679
ENSG00000116670.16	5623	4467	4103	4133	4145	5447
ENSG00000116663.11	177	159	138	177	128	210
ENSG00000162490.7	971	853	756	871	851	936
ENSG00000177674.16	3349	2691	2521	2626	2575	3337
ENSG00000215910.8	4	0	2	1	2	2
ENSG00000177553.6	0	0	0	0	0	0
ENSG00000177000.13	1200	1450	1242	1370	1353	1654
ENSG00000011021.23	1062	1370	917	1127	1184	1338
ENSG00000276470.1	0	0	0	0	0	0
ENSG00000278852.1	0	0	0	0	0	0
ENSG00000175206.11	8	8	4	7	12	8
ENSG00000275915.1	0	0	0	0	0	0
ENSG00000120937.9	4411	4696	2463	4238	3214	3808
ENSG00000224904.1	1	1	2	1	2	1
ENSG00000285646.2	65	42	31	63	53	73
ENSG00000199347.1	0	0	0	0	0	0
ENSG00000201801.1	0	0	0	0	0	0
ENSG00000116685.17	6162	5680	4686	5234	5087	6424
ENSG00000083444.17	16421	15872	12796	16205	14298	18130
ENSG00000287384.1	0	0	2	0	0	0
ENSG00000116688.18	10633	10857	8782	10854	10117	11923
ENSG00000270914.1	0	0	0	0	0	0
ENSG00000116691.11	2077	1663	1645	1675	1714	2296
ENSG00000202461.1	1	1	3	2	4	3
ENSG00000276869.1	0	0	0	0	0	0
ENSG00000243539.3	0	0	0	0	0	0
ENSG00000120949.15	19	22	21	15	20	23
ENSG00000201135.1	0	0	0	0	0	0
ENSG00000227875.2	0	0	0	0	0	0
ENSG00000285604.1	0	0	0	0	0	0
ENSG00000283789.1	0	0	0	0	0	0
ENSG00000028137.19	33	29	17	33	22	27
ENSG00000263676.1	0	0	0	0	0	0
ENSG00000225196.2	0	0	0	0	0	0
ENSG00000252969.1	0	0	0	0	0	0
ENSG00000048707.15	3034	4212	3140	4197	3759	4346
ENSG00000239149.1	1	3	0	1	3	2
ENSG00000229484.3	0	0	0	0	0	0
ENSG00000162496.9	3273	3029	2519	3234	2716	3489
